Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
1519,2023-08-18,2023-09-01,174.26,225.3,0.2841,🟢 停利,10,225.3,135.98
6285,2023-08-21,2023-09-06,106.45,125.75,0.1733,🟢 停利,12,125.75,91.97
2324,2023-08-21,2023-09-11,32.04,27.96,-0.1333,🔴 停損,15,37.47,27.96
2204,2023-09-06,2023-09-11,94.33,84.51,-0.1102,🔴 停損,3,107.42,84.51
3044,2023-08-18,2023-09-15,167.19,190.43,0.1312,⚪ 時間到期,20,213.65,132.34
2382,2023-08-18,2023-09-15,240.46,206.54,-0.147,⚪ 時間到期,20,312.26,186.61
2383,2023-08-18,2023-09-15,408.07,406.44,-0.0108,⚪ 時間到期,20,511.94,330.17
3017,2023-08-18,2023-09-15,350.79,311.68,-0.1176,⚪ 時間到期,20,446.06,279.33
2357,2023-08-18,2023-09-15,344.81,316.4,-0.0886,⚪ 時間到期,20,418.79,289.32
2368,2023-08-18,2023-09-15,198.14,194.13,-0.027,⚪ 時間到期,20,244.32,163.52
2603,2023-08-21,2023-09-18,82.32,89.51,0.0799,⚪ 時間到期,20,92.41,74.76
1519,2023-09-01,2023-09-18,224.16,180.44,-0.2005,🔴 停損,11,282.45,180.44
3661,2023-09-15,2023-09-21,2611.05,2288.16,-0.1297,🔴 停損,4,3041.57,2288.16
3533,2023-09-15,2023-09-21,853.86,781.37,-0.0912,🔴 停損,4,950.52,781.37
3034,2023-09-15,2023-09-21,387.92,364.77,-0.0661,🔴 停損,4,414.65,367.88
2603,2023-09-21,2023-10-04,89.6,83.98,-0.0692,🔴 停損,8,97.1,83.98
6285,2023-09-11,2023-10-11,129.26,114.45,-0.1206,🔴 停損,19,149.01,114.45
2454,2023-09-21,2023-10-11,672.06,727.23,0.0747,🟢 停利,11,727.23,630.68
2449,2023-09-11,2023-10-12,70.4,72.11,0.0173,⚪ 時間到期,20,82.58,61.26
3044,2023-09-18,2023-10-16,187.92,164.42,-0.131,🔴 停損,17,219.25,164.42
2458,2023-09-15,2023-10-18,121.19,121.14,-0.0073,⚪ 時間到期,20,135.79,110.25
2345,2023-09-15,2023-10-18,461.81,464.71,-0.0006,⚪ 時間到期,20,544.67,399.66
2204,2023-09-15,2023-10-18,81.92,78.45,-0.0489,⚪ 時間到期,20,96.14,71.25
3661,2023-10-11,2023-10-18,2762.06,2427.0,-0.1273,🔴 停損,5,3208.8,2427.0
2637,2023-10-11,2023-10-18,42.39,38.48,-0.0983,🔴 停損,5,47.6,38.48
1519,2023-09-18,2023-10-19,184.39,188.18,0.0136,⚪ 時間到期,20,235.75,145.87
2886,2023-10-18,2023-10-20,33.64,32.19,-0.0495,🔴 停損,2,35.56,32.19
3443,2023-10-16,2023-10-23,1638.58,1438.21,-0.1283,🔴 停損,5,1905.74,1438.21
3034,2023-09-21,2023-10-24,365.13,369.06,0.0039,⚪ 時間到期,20,398.3,340.25
