,Score
2344,3.966666666666667
2327,3.9499999999999997
6116,3.8499999999999996
3481,3.833333333333333
1303,3.7166666666666663
2408,3.6833333333333336
2882,3.5166666666666666
2379,3.433333333333333
2883,3.4166666666666665
2881,3.3833333333333333
6239,3.3333333333333335
2303,3.2
6446,3.2
2887,3.1833333333333336
6770,2.8833333333333333
2356,2.883333333333333
2454,2.8666666666666667
2891,2.8
2353,2.7333333333333334
2885,2.7166666666666663
2377,2.666666666666667
2324,2.5999999999999996
2383,2.45
2618,2.416666666666667
3711,2.3833333333333333
6415,2.35
3044,2.35
2357,2.3499999999999996
2382,2.333333333333333
2404,2.166666666666667
3231,1.9833333333333334
1605,1.8499999999999999
2884,1.7333333333333334
2376,1.6666666666666667
3037,1.65
2317,1.6
4938,1.5166666666666668
2330,1.5166666666666668
3034,1.4666666666666668
2474,1.4000000000000001
2449,1.2999999999999998
2308,1.1833333333333333
2368,1.15
3035,1.1166666666666667
2301,1.0499999999999998
2412,1.0333333333333332
2360,0.95
3706,0.9
1519,0.8833333333333334
3443,0.8833333333333334
2345,0.7833333333333332
1504,0.7666666666666666
6285,0.6666666666666666
2609,0.6333333333333333
2603,0.5166666666666667
3661,0.4166666666666667
3017,0.31666666666666665
3533,0.25
3036,0.13333333333333333
6669,0.06666666666666667
